Date,T2m_Anomaly
1941-10-02,14.313
1941-10-03,14.348
1941-10-04,14.365
1941-10-05,14.348
1941-10-06,14.293
1941-10-07,14.216
1941-10-08,14.166
1941-10-09,14.162
1941-10-10,14.151
1941-10-11,14.142
1941-10-12,14.152
1941-10-13,14.123
1941-10-14,14.074
1941-10-15,14.007
1941-10-16,13.957
1941-10-17,13.907
1941-10-18,13.862
1941-10-19,13.875
1941-10-20,13.887
1941-10-21,13.885
1941-10-22,13.833
1941-10-23,13.709
1941-10-24,13.568
1941-10-25,13.525
1941-10-26,13.506
1941-10-27,13.532
1941-10-28,13.529
1941-10-29,13.525
1941-10-30,13.452
1941-10-31,13.394
1941-11-01,13.365
1941-11-02,13.37
1941-11-03,13.367
1941-11-04,13.373
1941-11-05,13.35
1941-11-06,13.296
1941-11-07,13.237
1941-11-08,13.122
1941-11-09,12.999
1941-11-10,12.882
1941-11-11,12.842
1941-11-12,12.757
1941-11-13,12.635
1941-11-14,12.507
1941-11-15,12.45
1941-11-16,12.409
1941-11-17,12.373
1941-11-18,12.325
1941-11-19,12.26
1941-11-20,12.181
1941-11-21,12.083
1941-11-22,12.017
1941-11-23,12.019
1941-11-24,12.018
1941-11-25,12.023
1941-11-26,12.036
1941-11-27,12.058
1941-11-28,12.021
1941-11-29,12.084
1941-11-30,12.161
1941-12-01,12.188
1941-12-02,12.173
1941-12-03,12.196
1941-12-04,12.218
1941-12-05,12.114
1941-12-06,12.058
1941-12-07,11.991
1941-12-08,11.969
1941-12-09,11.992
1941-12-10,12.058
1941-12-11,12.11
1941-12-12,12.155
1941-12-13,12.179
1941-12-14,12.121
1941-12-15,12.073
1941-12-16,12.072
1941-12-17,12.077
1941-12-18,11.996
1941-12-19,11.989
1941-12-20,11.902
1941-12-21,11.842
1941-12-22,11.865
1941-12-23,11.901
1941-12-24,11.927
1941-12-25,11.913
1941-12-26,11.81
1941-12-27,11.712
1941-12-28,11.705
1941-12-29,11.667
1941-12-30,11.629
1941-12-31,11.584
1942-01-01,11.564
1942-01-02,11.516
1942-01-03,11.487
1942-01-04,11.506
1942-01-05,11.553
1942-01-06,11.697
1942-01-07,11.808
1942-01-08,11.833
1942-01-09,11.901
1942-01-10,11.93
1942-01-11,11.898
1942-01-12,11.91
1942-01-13,11.908
1942-01-14,11.956
1942-01-15,11.992
1942-01-16,11.944
1942-01-17,11.948
1942-01-18,11.998
1942-01-19,12.016
1942-01-20,12.035
1942-01-21,12.056
1942-01-22,12.038
1942-01-23,12.008
1942-01-24,11.998
1942-01-25,12.033
1942-01-26,12.052
1942-01-27,12.045
1942-01-28,11.995
1942-01-29,11.961
1942-01-30,11.864
1942-01-31,11.768
1942-02-01,11.685
1942-02-02,11.69
1942-02-03,11.637
1942-02-04,11.681
1942-02-05,11.747
1942-02-06,11.812
1942-02-07,11.768
1942-02-08,11.809
1942-02-09,11.845
1942-02-10,11.863
1942-02-11,11.866
1942-02-12,11.882
1942-02-13,11.875
1942-02-14,11.879
1942-02-15,11.923
1942-02-16,11.877
1942-02-17,11.801
1942-02-18,11.837
1942-02-19,11.871
1942-02-20,11.924
1942-02-21,11.988
